qid,doc_id,og_score,p_score,og_rank,p_rank
1092391,7291984,107.83152770996094,107.6419906616211,1,1
1092391,7329009,102.12786865234375,103.14566040039062,2,2
1092391,7712612,104.10261535644531,105.17185974121094,2,2
1092391,7179733,105.13511657714844,105.86810302734375,2,2
1092391,7401592,104.15132141113281,105.3896484375,3,3
1092391,7284501,104.37660217285156,105.21527099609375,3,4
1092391,7578411,103.91447448730469,105.86234283447266,6,3
1092391,7559244,103.45337677001953,103.53099822998047,7,7
1092391,7183229,103.12115478515625,105.13253021240234,8,7
1092391,7533642,106.07832336425781,106.55300903320312,2,2
1092391,7197033,104.5550765991211,106.34833526611328,4,3
1092391,7140105,101.14134979248047,102.3685302734375,12,12
1092391,7163370,99.62984466552734,102.15750885009766,13,13
1092391,7078250,102.75349426269531,104.20051574707031,11,10
1092391,7866009,101.26549530029297,101.8599624633789,13,15
1092391,7655567,100.31759643554688,102.72188568115234,15,13
1092391,7158532,102.55986022949219,104.44967651367188,12,10
1092391,2378652,100.99021911621094,101.60519409179688,16,18
1092391,7088654,104.26448822021484,104.85841369628906,6,10
1092391,7169984,101.44225311279297,104.22587585449219,15,12
1092391,7283199,100.93684387207031,103.00946044921875,19,16
1092391,7084934,103.32484436035156,103.38750457763672,11,15
1092391,7878223,100.53591918945312,102.15052795410156,21,21
1092391,7490272,104.1827163696289,105.31996154785156,7,7
1092391,7944739,102.38350677490234,104.4466781616211,16,13
1092391,309147,99.19145202636719,101.60797882080078,26,25
1092391,7134339,101.99668884277344,103.71044921875,18,16
1092391,4305606,99.48233795166016,102.83000183105469,27,21
1092391,7165423,102.48995208740234,104.97888946533203,16,11
1092391,7381160,104.64244842529297,104.92984771728516,4,12
1092391,7687609,101.37538146972656,101.8600845336914,22,28
1092391,7965558,103.68072509765625,104.40194702148438,12,16
1092391,7115790,103.53749084472656,104.99425506591797,13,11
1092391,7873766,102.5701904296875,103.19113159179688,18,23
1092391,7678527,102.38040924072266,104.07495880126953,22,20
1092391,7071501,104.61804962158203,105.05270385742188,5,11
1092391,7385639,102.02757263183594,102.96216583251953,25,28
1092391,7462294,102.80814361572266,104.79817199707031,18,16
1092391,7091104,100.19171905517578,102.0295181274414,36,35
1092391,7090090,103.30642700195312,104.58837127685547,17,17
1092391,7417036,102.00868225097656,103.64573669433594,28,25
1092391,7919323,101.43445587158203,103.5589599609375,31,26
1092391,7500864,104.63357543945312,105.95398712158203,5,4
1092391,7153433,104.14562225341797,103.97875213623047,12,25
1092391,7202337,100.8757553100586,103.73233032226562,39,26
1092391,7414907,103.6776123046875,104.43607330322266,16,21
1092391,3550561,103.66655731201172,104.18037414550781,17,25
1092391,7230798,102.76445770263672,104.01487731933594,24,27
1092391,7098781,98.92730712890625,100.66914367675781,49,49
1092391,7183716,105.12870788574219,105.92620849609375,4,5
1092391,7266627,99.39541625976562,101.5582046508789,49,50
1092391,7696003,100.2598876953125,102.52694702148438,46,42
1092391,7153226,101.688720703125,102.55902862548828,36,42
1092391,7512531,99.53134155273438,101.22579956054688,50,53
1092391,7965665,103.71694946289062,103.91934967041016,16,30
1092391,7669183,104.28684997558594,105.12739562988281,10,13
1092391,716033,102.48334503173828,103.27338409423828,32,38
1092391,4182410,101.9870376586914,103.2518539428711,39,39
1092391,7043728,101.00112915039062,104.01068115234375,46,30
1092391,7958505,104.32205200195312,105.01185607910156,10,15
1092391,5735433,101.17071533203125,103.3957290649414,46,39
1092391,7583330,102.01388549804688,102.97590637207031,38,46
1092391,7935074,96.0124740600586,98.45427703857422,63,63
1092391,7242575,103.50019836425781,104.61370849609375,23,21
1092391,7317000,100.5911636352539,102.32853698730469,54,54
1092391,7550591,100.0731430053711,102.94047546386719,59,49
1092391,7993331,98.6675796508789,101.09888458251953,66,65
1092391,2525170,100.82865905761719,102.9947280883789,54,47
1092391,7588934,98.6634292602539,100.51702880859375,68,68
1092391,7657626,103.43545532226562,105.02229309082031,25,15
1092391,7390960,98.49476623535156,99.19773864746094,70,70
1092391,7869629,99.51200866699219,100.81981658935547,64,68
1092391,7330528,104.25103759765625,105.65929412841797,13,8
1092391,7221920,100.47357940673828,102.27481079101562,59,59
1092391,7220975,101.53252410888672,101.83952331542969,46,65
1092391,4678132,101.98014831542969,104.06141662597656,45,33
1092391,7689572,98.86906433105469,102.11817932128906,73,63
1092391,493167,101.7562026977539,103.61509704589844,46,41
1092391,7895865,104.76969909667969,105.46589660644531,5,9
1092391,1100911,98.6156234741211,100.64778900146484,78,77
1092391,7197542,102.55427551269531,103.62275695800781,36,42
1092391,2480040,98.64366149902344,100.60050201416016,79,79
1092391,7497736,101.23065185546875,102.97235107421875,55,55
1092391,7650538,98.0560531616211,98.96664428710938,83,83
1092391,7967681,101.06242370605469,103.23863220214844,58,50
1092391,7082678,101.01428985595703,103.47999572753906,59,46
1092391,7138502,100.93828582763672,102.64671325683594,62,62
1092391,7132812,98.54153442382812,100.19544982910156,85,85
1092391,7757873,100.57437896728516,102.8976821899414,67,60
1092391,7946990,99.06455993652344,101.98747253417969,80,73
1092391,7606522,99.29531860351562,100.70177459716797,79,83
1092391,7078336,99.16481018066406,102.34674835205078,81,67
1092391,7089215,99.2357177734375,101.55738830566406,80,81
1092391,7144010,102.2745361328125,103.9906005859375,41,37
1092391,7341084,105.89540100097656,106.28981018066406,3,4
1092391,7827756,101.80183410644531,103.50756072998047,50,48
1092391,6057028,102.27088165283203,103.74169158935547,43,41
1092391,7289701,98.86709594726562,102.6430892944336,90,68
1092391,7185490,99.82622528076172,102.03019714355469,78,78
1092391,7770151,101.7979736328125,103.34881591796875,52,53
1089645,7082804,103.50489044189453,104.1717758178711,1,1
1089645,7964042,100.26116943359375,103.478759765625,2,2
1089645,7271167,97.00312805175781,99.60803985595703,3,3
1089645,7120173,97.17179107666016,99.56442260742188,3,4
1089645,7947070,99.73555755615234,103.04995727539062,3,3
1089645,7442673,98.61991882324219,100.86283111572266,4,4
1089645,7881050,100.426513671875,103.78577423095703,2,2
1089645,7267527,96.44035339355469,97.6426010131836,8,8
1089645,7958943,102.39289855957031,106.04354095458984,2,1
1089645,7156447,96.62151336669922,98.7748031616211,9,9
1089645,7079676,100.12088775634766,101.95115661621094,5,6
1089645,7750169,100.80450439453125,103.11398315429688,3,5
1089645,7118484,101.98303985595703,105.96475982666016,3,2
1089645,7118301,95.59595489501953,97.27131652832031,14,14
1089645,7272003,97.10433959960938,99.3749008178711,11,12
1089645,7146139,99.38777160644531,101.69104766845703,9,9
1089645,7626921,100.09000396728516,102.91386413574219,8,8
1089645,7469699,94.82648468017578,98.70399475097656,18,16
1089645,7454863,93.97366333007812,97.71746826171875,19,17
1089645,7465491,99.26419067382812,102.2359619140625,11,9
1089645,7806919,98.32308959960938,101.36090087890625,13,12
1089645,7935017,99.4759750366211,102.05736541748047,10,10
1089645,7729693,101.07356262207031,104.09963989257812,4,4
1089645,7120073,100.70545196533203,103.96002197265625,6,5
1089645,7242969,95.94842529296875,98.16291809082031,22,22
1089645,7256738,95.33888244628906,97.86565399169922,24,23
1089645,7597457,95.69879150390625,100.07736206054688,23,17
1089645,7959315,99.989990234375,103.47008514404297,11,8
1089645,7278548,95.66191101074219,96.64583587646484,25,29
1089645,7080091,100.71939849853516,103.73353576660156,6,7
1089645,7502716,97.41073608398438,100.03070831298828,19,20
1089645,7817733,97.03113555908203,100.43111419677734,22,19
1089645,7218572,97.9923324584961,101.00836181640625,19,18
1089645,7204742,93.69903564453125,97.88241577148438,34,29
1089645,7265543,97.05736541748047,99.93450164794922,23,23
1089645,7852599,95.17999267578125,97.71524810791016,33,33
1089645,7842241,94.58512878417969,99.77369689941406,35,24
1089645,7947632,96.8065185546875,99.71430969238281,26,25
1089645,7707024,96.25038146972656,99.43975067138672,29,28
1089645,7673699,96.23052978515625,100.79507446289062,30,20
1089645,7365611,98.41499328613281,100.6424789428711,18,21
1089645,7955177,96.88703918457031,99.74779510498047,27,27
1089645,7137482,96.45154571533203,99.47954559326172,30,31
1089645,7318114,95.38987731933594,97.58952331542969,38,42
1089645,7455679,96.83375549316406,99.7893295288086,28,26
1089645,7775637,97.01239013671875,99.9863052368164,26,25
1089645,7613590,96.62872314453125,99.59276580810547,31,32
1089645,7624305,96.28609466552734,99.58431243896484,35,33
1089645,7627245,98.75492095947266,101.77903747558594,17,16
1089645,7247530,93.8017349243164,96.1568603515625,49,50
1089645,7263359,97.44660949707031,99.82449340820312,22,28
1089645,7114517,95.81716918945312,99.40727233886719,41,39
1089645,4778293,99.10401153564453,103.26040649414062,17,10
1089645,7151971,97.27662658691406,100.55055236816406,25,24
1089645,7757735,95.7041015625,98.31534576416016,44,45
1089645,7556882,99.98435974121094,103.2161636352539,13,11
1089645,7583207,97.60121154785156,101.20722198486328,24,21
1089645,7478541,94.47540283203125,96.28195190429688,55,57
1089645,7576731,93.9146728515625,95.95521545410156,57,59
1089645,7202098,93.65755462646484,97.96159362792969,60,49
1089645,7831313,94.95050048828125,98.30595397949219,53,48
1089645,7483172,92.11676788330078,94.85009002685547,62,62
1089645,7119187,95.0341567993164,97.07681274414062,53,58
1089645,7408152,96.15591430664062,99.14633178710938,44,45
1089645,7735236,94.06715393066406,97.0140380859375,59,60
1089645,7144391,96.91150665283203,100.67864990234375,34,25
1089645,7622850,94.05239868164062,97.19742584228516,61,60
1089645,7415340,99.90406799316406,102.80352783203125,14,15
1089645,7619127,95.52465057373047,98.00263214111328,53,53
1089645,7515975,98.63685607910156,102.7768783569336,21,16
1089645,7399769,95.6158676147461,99.0082778930664,53,49
1089645,7734195,96.47703552246094,101.50248718261719,42,22
1089645,7750477,99.31029510498047,103.2188720703125,18,11
1089645,7398606,97.59190368652344,101.29464721679688,28,25
1089645,7581655,95.67610168457031,98.81262969970703,55,53
1089645,7143926,97.34581756591797,98.270263671875,31,58
1089645,7599025,96.74933624267578,98.74742126464844,43,55
1089645,7376630,94.72212219238281,99.23284912109375,68,51
1089645,7201894,95.69429016113281,99.52425384521484,57,47
1089645,7569884,96.34748840332031,101.34385681152344,49,25
1089645,7910921,95.04267120361328,98.33761596679688,67,60
1089645,7739212,99.54180908203125,102.66500854492188,16,18
1089645,7329090,96.49240112304688,99.11951446533203,47,56
1089645,7650075,95.25914001464844,98.61715698242188,68,62
1089645,3059280,100.06443786621094,102.96786499023438,12,15
1089645,7940567,94.59882354736328,97.16197204589844,76,79
1089645,7893603,95.79340362548828,98.65593719482422,59,63
1089645,7796324,91.97246551513672,98.91641235351562,88,59
1089645,7212848,95.99471282958984,98.8156967163086,57,60
1089645,2554945,93.76963806152344,96.84701538085938,86,85
1089645,7273555,98.46601104736328,100.45238494873047,26,36
